,Question,Answer
10,请问公司对于越来越激烈的市场竞争，有哪些应对对策？,您好，感谢您对公司的关注！公司将加强区域市场服务体系建设的同时，紧跟运营商政策和行业发展，及时进行技术升级，加强人才队伍建设，降低市场竞争风险，努力开拓新的业务领域和市场。
11,请问公司从事的主要业务是什么？,您好，感谢您对公司的关注！本公司主营业务为通信网络技术服务，包括通信网络设计服务及通信网络工程服务。其中，通信网络设计服务包括咨询业务、勘察设计业务和网络优化业务；通信网络工程服务包括通信网络工程施工业务和网络维护业务。通过为基础通信运营商以及政府部门提供通信网络的勘察设计、咨询业务、网络优化业务以及通信网络工程施工及维护业务，通信运营商以及相关部门得以高效、迅速地展开基础通信运营服务。
12,请介绍一下股利分配政策？,"您好，感谢您对公司的关注！公司实行连续、稳定的利润分配政策，公司的利润分配重视对投资者的合理投资回报并兼顾公司的可持续发展。公司采取现金、股票或者现金股票相结合的方式分配股利，在有条件的情况下，公司可以进行中期现金分红。公司目前处于成长期，公司在持续盈利的情况下优先采取现金形式分配利润，每年向股东现金分配股利不低于当年实现的可供分配利润的10%。谢谢！
"
13,请问公司应收账款较高，是否存在风险？,"您好，感谢您对公司的关注！受通信运营商采购政策及结算方法的影响，公司应收账款金额较大。2016年末公司应收账款账面余额为31,338.37万元，占当期销售收入比重为74.03%。虽然公司应收账款余额较大，但符合通信技术服务行业的特征，且客户信用稳定，回款情况良好。由于应收账款余额较大，若无法及时收回款项，公司将面临流动资金短缺和坏账损失风险，所以公司会定期由计划经营部跟进合同进展，进行结算催收，缩短付款周期。"
14,请问2016年独董出席了几次董事会？对公司的经营状况等有什么看法？,您好，感谢您的提问，2016年独董出席了5次董事会会议。针对公司经营状况，本人认为目前公司经营状况良好，发展稳定。
15,请问通信行业投资周期性波动存在怎样风险？,您好，感谢您对公司的关注！近年来，我国电信业固定资产投资规模保持了较快的增长速度，随着我国通信网络的扩大，一方面旧有的通信网络需要维护和优化；另一方面，新的网络需要规划、建设、升级。未来几年，通信行业将积极推进5G和超宽带关键技术研究，启动5G商用。未来，通信运营商对通信网络技术服务需求将进一步加大。但是通信行业也存在周期性波动的影响：首先，全球及中国经济的周期性波动会在一定程度上影响中国通信行业；其次，随着每一代通信技术和通信网络的普及，通信业的基础投资会出现一波高峰，大规模通信业固定资产投资后，行业投资规模会出现阶段性放缓直至大规模建设下一代通信网络；再次，通信运营商也可能根据不同的区域经济环境及自身战略发展规划调整投资规模。因此受到宏观经济环境变化，通信技术更新换代及运营商电信业投资规模调整等因素的影响，通信行业景气度可能出现阶段性回落，通信网络技术服务业务规模可能随之出现阶段性放缓甚至下降。受此影响，公司面临着因通信行业投资周期性波动而导致公司业务收入增长阶段性放缓甚至大幅下降的风险。谢谢！
16,请问公司的核心竞争力是什么？,"您好，感谢您对公司的关注！经过多年的发展，本公司已成长为具有一定市场规模、业务链条完整、服务能力较强、能为客户提供一体化综合服务、具备较强可持续发展能力的通信网络技术服务商。在通信网络设计及通信网络工程领域内研发能力较强，业绩呈稳定发展态势，具有较强的竞争优势。
1、品牌优势
公司自1985年由长春邮电学院校办企业发展至今，凭借原长春邮电学院在专业、市场及人脉方面的深厚积累，创造了通信网络技术服务行业的知名品牌。公司30年来一直将维护品牌形象、创造品牌价值视为长期发展目标，努力为客户提供高质量的通信网络技术服务，积累了良好的口碑和大量优质客户资源。公司获得中国工程设计协会颁发的2013-2014全国AAA级信用示范单位证书。2016年，公司获得吉林省信用评价认证中心颁发的AAA级信用企业。
2、技术领先优势
2016年通信技术的变革对通信网络技术服务企业的技术水平提出了很高的要求。目前，通信网络正朝着宽带化、智能化、移动化的方向演进。为了应对通信网络技术的发展，公司进行了针对性的技术研发，不断跟踪并研究新技术的落地实施，来满足和支撑客户日益多样化的需求。
我公司在IPv6技术、物联网、移动互联网技术、SDN技术、大数据、虚拟化、云计算、分布式数据库、4G无线通信系统仿真、网络评测、POTN、智能ODN技术、移动核心网组网技术、通信网络优化等前沿技术方面，持续进行研发投入，保证技术上的领先地位。
2016年我公司获得了6项软件著作权，在重要期刊发表论文187篇。截至2016年年底，我公司在各个专业领域共取得了10项专利，48项软件著作权，并参与了多项中华人民共和国国家标准和中华人民共和国通信行业标准的制定，体现了公司在相关领域技术领先的地位。
3、产品质量优势
我公司在东北、华北地区通信网络技术服务行业具有较高的影响力，2016年拓展了西北、西南、华南等多个地区的服务网点。公司提供的服务已覆盖全国近20个省、直辖市、自治区，境外业务也有所突破。在原有本地化服务基础上，随着通信业务服务网点升级改造项目57个网点的升级改造完成，公司能够为用户提供更加完善、及时的技术服务，在满足客户技术服务需求方面，具有强大的服务优势。2016年公司获得中国勘察设计管理协会、中国通信企业协会、吉林省通信行业协会、吉林省勘察设计协会颁发的优秀工程获奖证书11项。
4、核心管理团队优势
公司核心管理团队共11人，均具有学士及以上学位。其中博士2人、硕士3人、学士6人。高素质的核心管理团队确保了公司“高效率、高效益、高效果”地运营；在本公司平均23年的工作年限，标志着管理团队的忠诚、责任与使命。
5、人才团队优势
公司拥有一支专业、团结、高效的管理团队和一支经验丰富、结构合理、专业过硬、服务意识强的技术队伍。截至2016年年末，公司员工中有本科以上学历的人员占员工总数比例为70%，生产人员82人、销售人员30人、技术人员902人、财务人员23人、行政人员124人。研发人员长期从事通信网络技术服务业的研究及开发，涉及无线、传输、核心、数据等众多专业领域，具有丰富的专业理论知识及实践操作能力，为公司业务的研发、改进等提供了良好的支撑能力。
6、企业文化优势
公司的核心价值观：正德和谐，高效创新。公司的使命：(1)为客户，提供优质的通信设计咨询服务；(2)为企业，实现企业价值最大化；(3)为员工，营造良好的职业和生活发展空间；(4)为社会，推进国家信息化建设。增加凝聚力、号召力，激发员工潜能，从而共同追求企业发展目标，使企业成为一流的通信网络解决方案专家。"
17,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,谢谢您对本公司的关注！企业本着对投资者高度负责的态度，在市场拓展、技术研发和人才培养等方面加大力度，增强企业核心竞争力，给予投资者良好的回报。
18,请问公司分红什么时候实施？,您好，感谢您对吉大通信的关注！根据规定，公司将于股东大会通过后两个月内实施。
19,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,您好，感谢您对公司的关注！公司目前没有此方面的投资计划。
20,贵公司员工一个月能挣多少？,您好，感谢您对公司的关注！公司有完善的薪酬考核体系，员工薪酬主要由工资和奖金等部分组成，按公司所处行业和地区的薪酬水平，并结合公司实际经营情况确定。谢谢！
21,请问公司有对外担保的情况吗？,您好，吉大通信截至目前没有对外担保。
22,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,"您好，感谢您对公司的关注。公司募集资金投向项目进展顺利。公司募投项目包含：“研发中心建设项目”、“信息化升级改造项目”和“通信业务服务网点升级改造项目”。其中，“通信业务服务网点升级改造项目”将新增营业收入22,365万元，经测算，所有募投项目投产后的直接净利润为每年6,661.24万元，可以确保公司整体盈利能力显著提升。"
23,请问4G和5G最大差距在哪？,"谢谢您对本公司的关注
4G主要面向手机通信用户，为手机终端提供高速的无线宽带接入服务，工作频段有1800M、2600M，最高下载速度可以到达100Mbps。主要提供的服务有手机上网、视频播放、高清语音通话等。
5G主要面向移动互联网、物联网、车联网等场景，具备高速率、大连接、低功耗、低时延等特点，每平方千米可支持百万级的终端接入能力，峰值下载速率可达20Gbps，空口时延降低至1ms，工作频段主要分为两类，一类是低于6GHz的基础频段，还有一类是高于6GHz的频段（24-27GHz、37-43GHz）。"
24,请问全国社会保障理事会持股是什么情况？,您好，感谢您对公司的关注！根据《境内证券市场转持部分国有股充实全国社会保障基金实施办法》（财企[2009]94号）的有关规定，经《财政部关于批复吉林吉大通信设计院股份有限公司部分国有股权转由全国社会保障基金理事会持有的函》（财资函[2014]44号）批复，吉大通信在境内首次公开发行股票并上市时，吉大控股按照吉大通信实际发行股份数量的10%，将其持有的国有股转由全国社会保障基金理事会持有，最终国有股转持数量，以吉大通信实际发行股份数额为基础计算。全国社会保障基金理事会将承继吉大控股的禁售期义务。
25,请问公司为５Ｇ发展做了哪些技术储备？,您好，感谢您对公司的关注！对于5G网络，其标准预计2018年完成制定，预计2020年试商用，目前公司在做技术储备的前期准备工作，如5G关键技术、5G与WI-FI融合组合需求分析、未来5G无线网络对传输资源的需求等课题研究，并同时持续地跟进通信运营商的5G网络建设进程。
26,公司未来3年发展前景如何?,"谢谢您对本公司的关注！
一、发展战略和经营计划在近年来的进展情况
公司近年来中标中国移动、中国联通、中国电信、中国铁塔等多个标段，按要求开展业务，继续扩大全国市场的业务占有率，较好完成市场拓展的经营计划。公司在黑龙江、吉林、辽宁、内蒙、新疆及海南等多个省份从事2G\3G\4G网络的多专业规划设计服务和工程服务，并做好5G技术储备，加强跟进、研发及人员培养，持续地跟进运营商的5G网络建设进程；同时密切跟进物联网技术，并协助内蒙古移动公司完成《内蒙古移动物联网发展阶段分析》；在吉林、内蒙古省份从事智慧城市及数据中心的网络设计服务和网络工程服务；开拓了吉林广电、陕西广电的市场；扩展了海外合作市场。
二、行业格局和趋势
1、行业环境层面国家政策
根据国务院关于“十三五”国家信息化规划纲要，物联网、云计算、大数据等新技术驱动网络空间从人人互联向万物互联演进，数字化、网络化、智能化服务将无处不在。到2018年全国开展5G网络技术研发和测试工作，互联网协议第6版（IPv6）大规模部署和商用；到2020年全国5G完成技术研发测试并商用部署，互联网全面演进升级至IPv6，未来网络架构和关键技术取得重大突破；到2018年全国分级分类建设100个新型示范性智慧城市；到2020年全国新型智慧城市建设取得显著成效。加快高速宽带网络建设。全面推进三网融合，基本建成技术先进、高速畅通、安全可靠、覆盖城乡、服务便捷的宽带网络基础设施体系，消除宽带网络接入“最后一公里”瓶颈，进一步推进网络提速降费。
未来，随着国家推动5G技术研究及落实，并结合物联网、新型智慧城市、高速宽带网络建设的进一步落实，本公司的业务经营将面临更为有利的法律和政策环境。
2、行业的竞争格局及发展趋势
经过多年发展，通信网络技术服务行业已成长为市场化竞争程度较高的行业。目前整个行业的主要参与者按背景及股东来源分为两大类，运营商直属的设计院为第一梯队，非运营商的设计院为第二梯队。与同行业公司比较，我公司在第二梯队中公司的盈利能力较强。
公司在通信网络设计及通信网络工程领域内研发能力较强、业绩呈稳定发展态势，具有通信网络技术服务行业所需的多项高等级资质。公司主要客户包括中国移动、中国电信、中国联通、中国铁塔等通信运营商；公司已在包括东北、华北、西北、西南、华南等地区开展通信网络技术服务业务，并通过多元化的客户结构和多地区的营销策略提升自身的市场份额。
3、公司具有的核心优势
公司多年来凭借人才、技术创新、服务、品牌、工程总承包等综合竞争优势，在通信网络技术服务行业中具有较强的竞争力。公司根植于吉林大学，吉林大学是公司实际控制人，可进一步推动吉林大学产学研的结合，促进吉林大学科技成果转化，同时为公司提供更大的全面支持力度；公司具有工程总承包能力，在国家倡导工程总承包的大趋势下具有明显的优势；公司为国家高新技术企业，技术创新能力已成为公司引领发展的第一动力和核心竞争力之一。公司多年来坚持走科技创新之路，着力提高企业的自主创新能力，有力推动了企业的服务升级。截至2016年12月31日，拥有专利10项（其中发明专利2项），软件著作权48项。尤其是GSM网络规划及设计技术、TD-SCDMA数字蜂窝移动网建设技术、数字蜂窝移动通信网LTE核心网工程设计技术、PTN网络设计技术、通信线路建设技术、综合业务接入技术、互联网数据中心设计技术、支撑系统设计技术、数据机房电源安全技术等方面拥有多项软件著作权或专利，将很好的支持公司未来的业务发展。
三、公司发展战略
1、公司将完善服务网点布局，增强在全国范围的辐射能力，加大市场开拓力度，提升本地化服务响应速度和质量，从而进一步提升公司的整体运营能力。积极开拓智慧城市、广电网络等自有市场及海外合作市场，扩展业务空间；
2、公司将不断跟踪最新通信技术的发展方向，综合运用现有技术资源，研发新技术，加强公司研发能力和科研成果的转化能力，加大专利及软件著作权的研发力度，加强参与国家标准及行业标准的制定，从而紧跟通信网络前沿技术，适应通信技术发展和市场变化；
3、公司将重点培养骨干员工，给予优先培养与人才保留；将进一步完善各项人才激励制度，充分调动公司的员工积极性；公司将拓宽引进社会人才渠道，吸纳成熟人才和高端人才加盟公司；培养高素质业务技术人员，提高持续自主创新及研发能力，从而保持技术优势，提高公司的市场竞争力和市场占有率；
4、公司将升级信息化系统满足未来发展的需要，进一步提高快速反应能力，促进企业组织结构优化，提升管理效率和进行管理创新，有效地控制企业成本；
5、利用好上市公司的平台，积极探索设立产业并购基金，积极推进外延式并购和产业整合；
6、结合国家工程总承包政策，积极推进工程总承包的经营力度；
7、结合公司实际情况，适时推行股权激励政策。
"
27,公司的负债比率有多少？,您好，感谢您对公司的关注。公司2017年第一季度负债率为20.84%。
28,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,谢谢您的提问，本人会按照我国有关法律法规和吉大通信公司章程的要求，努力维护公司整体利益，关注中小股东的合法权益不受损害。
29,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理呀。,您好，感谢您对公司的关注！公司固定资产主要为房屋建筑物、运输设备、机器设备、电子设备等，不存在技术改造项目，谢谢！
30,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,您好，感谢您对本公司的关注。公司将利用好上市公司的平台，积极推进资本市场的并购和产业整合。
31,近一年来，贵公司高管考虑增持吗？,谢谢您对本公司的关注，近期我公司高管没有明确增持意向。
32,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,您好，感谢对公司的关注。公司会依法经营，维护广大股东利益。
33,最近公司财务状况如何？,"您好，感谢您对本公司的关注。公司已披露2017年第一季度报告。2017年第一季度收入6900万元，净利润269万元，资产总额87512万元,。"
