,Question,Answer
13,公司2018年有哪些业务创新？,"尊敬的投资者，您好！
有关2018年业务发展目标，烦请您查阅2017年年度报告中“2018年经营计划和主要目标”的描述。
感谢您对我公司的关注"
14,随着未来彩票机数量逐渐增加，公司是否考虑出一个彩票机定位的APP，让彩民们随时随地知道周围哪里有投注点？,尊敬的投资者：您好！我们为许多省市的福彩中心建立了福彩展示柜公众号，公众号上提供了彩票分布图，方便彩民查找。感谢您的关注！
15,目前公司电子档案业务发展得怎么样了，公司觉得这块业务发展前景如何，有没有进一步的发展计划？,"尊敬的投资者，您好！
档案存储及电子化业务是公司近年来重点发展的项目之一，我公司看好该项业务的发展的前景。截止目前，公司已经在全国建立了多个存储中心，业务发展在全国同行业中位居前列。
感谢您对我公司的关注。"
16,电子票据区块链建议联合航天信息等电子发票企业合作开发,尊敬的投资者：您好！感谢您的建议，我们会认真考虑，谢谢！
17,请问贵司与井通公司合作的区块链技术是否已经应用到电子发票或者其他的业务上面？,"尊敬的投资者：您好！
瑞宏网与井通公司合作研究区块链技术与电子发票业务的结合，是为了提高电子发票的使用效率，目前有关研发工作还在进行中，未来的应用效果还存在一定的不确定性。我公司将关于有关技术的发展趋势，促进相关业务的发展。
感谢您对我公司的关注！"
18,大股东过去在公司发展历程起到很大作用，但2017年坚持过猛，二级市场受伤颇深，现在是否准备彻底淡出，还是能继续对公司提供一些资源和人脉的帮助，请史总简要解惑，谢谢！,尊敬的投资者：您好！我们大股东自设立至今，行使大股东的权利并履行其义务，不干涉、不参与公司日常经营业务。大股东的减持是依据相关法规合法减持，该减持行为与公司经营业务没有任何关联，公司业务也没有因此受到任何影响。感谢您的关注！
19,预计公司第二季度经营业绩如何？,"尊敬的投资者，您好！
根据相关信息披露要求，半年度的业绩预测情况，将在2018年一季度报告中予以披露。目前公司生产经营情况良好，预计2018年一季度将保持业绩增长态势。
感谢您对我公司的关注。"
20,人工智能技术对公司业务发展有何影响？,尊敬的投资者：您好！我们在研究将人工智能技术应用于彩票智能终端等产品，以提高我们产品的体验。谢谢！
21,公司年底预收款余额增幅较大，主要对应的是那一块业务，和合同金额大致是多大比例关系？谢谢,"尊敬的投资者，您好！
预收账款科目年底形成的余额，对应的主要是票据印刷产品，由于一些产品印制生产胡周期较长，至年底尚未完工发出货物，因此不能确认为收入。由于各个合同的具体情况不一定,因此比例关系并不确定。
感谢您对我公司的关注。"
22,电子发票后端的财税信息服务市场，可以和瑞宏形成业务促进，空间很大，是否考虑收购来加速这块业务？新三板财税服务公司中兴通科目前市值3亿出头，可否考虑收购一家这样的公司？谢谢,尊敬的投资者：您好！财税信息服务市场空间很大，电子发票业务是其中一类，我们已经开发了票e送、税务档案信息服务等相关业务，均有较好的效果。关于收购的事宜情况复杂，如果有合适的机会，我们将积极争取。谢谢！
23,百望，航信电票均已引入战略投资人，瑞宏电票是否已经有合适的战略投资人选？谢谢,"尊敬的投资者：
您好！我们始终欢迎有资源的合作伙伴共同发展电子发票业务，合作方式不限于战略投资一种方式。谢谢！"
24,公司要坚持向信息技术服务行业发展吗？目前可有哪些成就？,"尊敬的投资者，您好！
公司近年来大力发展了智能IC卡、电子发票、RFID智能标签、彩票自助终端服务、档案存储及电子化等业务，为客户提供了丰富、安全的信息技术服务，均取得了较好的效果。
感谢您对我公司的关注。"
25,公司自助式彩票销售设备多布设在大型商超等地点，目前公司设备市场占有量如何？,"尊敬的投资者，您好！
在国内彩票自助业务领域，我公司的市场占有率位居前列。
感谢您对我公司的关注。"
26,预计今年能否拓展更多电子发票业务的客户？,"尊敬的投资者，您好！
我公司将深入做好电子发票业务的市场开拓工作，争取为更多的客户提供优质的服务。
感谢您对我公司的关注。"
27,虽然互联网彩票业务还在国家的严格监管中，但了解到贵司福彩小黄人业务发展得很好，请问贵司对体育彩票这块业务的发展前景怎么看，公司有没有向这块业务发展的计划？目前，公司涉足彩票领域哪一块？业绩如何？,"尊敬的投资者，您好！
我公司承接了部分省市的体育彩票的印制业务，体育彩票的自助机业务目前尚未开展，公司正积极争取拓展该项业务，力争为更多的客户提供服务。我公司在彩票业务领域主要包括彩票印制、自助服务设备的研发与销售、彩票服务终端的运营服务等。
感谢您对我公司的关注。"
28,纸价今天又大涨，公司如何保持利润率？另外公司用大笔现金理财，是否会去考虑一些并购？,"尊敬的投资者:
您好！纸张涨价对我们保持利润造成困难，我们与主要纸张供应商均签有长期供应合同，目前纸张价格涨幅在我们的可控范围内。公司目前现金充裕，并购是扩大业务的有效方式之一，但是机遇与风险并存，如果遇到有吸引力的并购机会，我们会考虑。谢谢！"
29,公司在哪些领域投入运用区块链技术？对公司业绩有和影响？,"尊敬的投资者，您好！
本公司研发区块链技术，是利用其去中心化特点，实现基于区块链网络中的分布式存储，完善电子发票的生态圈，提高电子发票的使用效率。
但目前该项尚处于技术研发阶段，发展前景和对公司业绩的影响还存在一定程度的不确定性。
感谢您对我公司的关注！"
30,电子发票业务今年增速是否有望加快？,"尊敬的投资者，您好！
电子发票业务目前进展情况良好，预计在2018年还将保持较好的发展态势。
感谢您对我公司的关注。"
31,2017年公司整体薪酬有所下降，请问公司如何调动员工的积极性？谢谢,"尊敬的投资者：
您好！
公司员工薪酬分为固定薪酬和绩效薪酬两部分，如果岗位没有变化，固定薪酬不变，绩效薪酬随着岗位绩效的变化而变化，2018年我们力争通过提高经营业绩，从而提高员工绩效薪酬。谢谢！"
32,去年印刷业务销售收入有所下降，2018年印刷业务收入是否会继续下降？ 2017年增值税普通发票印制招标，地方企业中标数量较多，对公司业务有多大影响？谢谢额,"尊敬的投资者：您好！
在2018年我公司将努力做好经营工作，力争实现营业收入的增长。在增值税普通发票的招标中，我公司及合作方组成的联合体，中标了多个标段。目前增值税普通发票业务开展正常，不会对公司经营业绩造成重大影响。
感谢您对我公司的关注。"
33,关于区块链，贵司有哪些相关研究或技术？,"尊敬的投资者：
您好！我们公司正在研究将区块链技术应有到电子发票和电子票据，解决上述两个领域中的问题，推进相关业务的发展。谢谢！"
34,公司目前在市场开拓方便进展如何？,"尊敬的投资者：您好！
公司目前正在积极开拓各类新业务的市场，并取得了较好的效果，在各细分领域均处于行业前列，具有较强的市场竞争力。
感谢您对我公司的关注。"
35,面对原纸持续上涨的趋势，公司在未来的营收是否仍面临下滑的风险？," 尊敬的投资者，您好！
我公司已注意到原纸持续上涨的趋势，公司将利用集团采购、提前储备等方式，控制原材料成本的上升，并发挥公司在销售领域的竞争优势，根据市场情况提升产品售价，保持产品盈利水平，实现业绩增长。
感谢您对我公司的关注。"
36,请问史总：原大股东之前毫无规则的减持，感觉很不好，公司能否跟原大股东充分沟通，在减持方面，给市场一个稳定的预期啊？,"尊敬的投资者：
您好！
非常感谢您的建议，我们会将您的建议与原大股东沟通。
谢谢！"
37,2017年公司招聘较多新员工，请问公司那些业务和部门充实新员工比较多？谢谢！,"尊敬的投资者：
您好！我们招聘的新员工主要充实到电子发票、电子档案和新渠道彩票等部门。谢谢！
"
38,公司电子发票业务有没有与支付宝开展合作？,"尊敬的投资者，您好！
瑞宏网的电子发票业务与支付宝有业务合作关系。
感谢您对我公司的关注。"
39,初步了解到公司有涉足区块链技术，请问公司在该技术运用领域的竞争力如何？是否已经应用到电子发票或者其他的业务上面？一季报是否高增长？,"尊敬的投资者，您好！
区块链技术与电子发票业务相结合是我们研究的一个方向，目前还在推进过程中，未来应用存在一定的不确定性。目前公司经营情况良好，我们预计一季度经营业绩能够实现增长。
感谢您对我公司的关注。"
40,彩票自助终端设备主要布设在哪些区域？可以通过app查询吗？,"尊敬的投资者;
您好！我们的彩票终端设备在山东、新疆、重庆、辽宁、安徽等十几个省市有布设，布设区域主要在购物中心、车站、中福在线大厅等，多数省市的福彩展示柜公众号上有设备的分布图。谢谢！"
41,请问公司年报里说的项目制和销售大平台具体是什么？,"尊敬的投资者，您好！
项目制和销售大平台，是我公司的一种管理体系，其目的是整合公司销售资源，实现公司现有产品的全产业链销售，增强销售队伍的战斗力和凝聚力，促进销售业绩的提升。
 感谢您对我公司的关注。"
42,税务系统改革对公司造成哪些影响？," 尊敬的投资者，您好！
国家税务系统的改革对于公司业务的影响目前无法做出判断。我们将不断提升产品和服务质量，满足客户的使用需求。
感谢您对我公司的关注。
"
43,董秘您好，2017年，贵公司已经中标中国农业银行、中国银行、交通银行和邮政储蓄银行的金融IC卡项目，1.请问目前是否已经开始订单生产？2.是否对2018年公司利润产生积极影响？进一步增厚公司利润。,"尊敬的投资者，您好！
中国银行、交通银行等银行的订单已经陆续开始生产，预计在2018年能够增加公司的经营业绩。
感谢您对我公司的关注。
"
44,"贵公司第一期员工持股共计购买本公司股票 9,623,800股，占公司总股本 2.65%，成交金额为人民币254,226,970元，成交均价为26.42元/股，锁定期到2018年2月8日。目前已超过锁定期，且浮亏严重。请问贵公司将会采取什么措施来处理这一问题？会清盘吗？还是会继续增持或者推出其他激励措施，加以对冲风险？","尊敬的投资者，您好！
公司将努力做好生产经营工作，提升经营业绩，并依法依规做好员工持股计划的后续管理工作，尽最大努力维护员工合法利益。
感谢您对我公司的关注。"
