ИХЖЪ,№ЙЖ±ґъВл,ГыіЖ,КХЕМјЫ,ЧоёЯјЫ,ЧоµНјЫ,їЄЕМјЫ,З°КХЕМ,ХЗµш¶о,ХЗµш·щ,»»КЦВК,іЙЅ»Бї,іЙЅ»Ѕр¶о,ЧЬКРЦµ,БчНЁКРЦµ
2017-12-25,'002081,Ѕр у« тл,15.05,15.42,14.91,15.06,15.06,-0.01,-0.0664,0.6212,16420103,249123145.46,39781795769.4,39781795769.4
2017-12-22,'002081,Ѕр у« тл,15.06,15.25,14.79,14.86,14.78,0.28,1.8945,0.6428,16991674,256045833.59,39808228856.3,39808228856.3
2017-12-21,'002081,Ѕр у« тл,14.78,14.96,14.38,14.39,14.34,0.44,3.0683,0.686,18134297,266558188.49,39068102423.4,39068102423.4
2017-12-20,'002081,Ѕр у« тл,14.34,14.51,14.22,14.3,14.3,0.04,0.2797,0.4882,12905807,185477995.66,37905046600.3,37905046600.3
2017-12-19,'002081,Ѕр у« тл,14.3,14.36,13.95,14.13,14.0,0.3,2.1429,0.7375,19493284,276548289.69,37799314252.7,37799314252.7
2017-12-18,'002081,Ѕр у« тл,14.0,14.66,13.67,14.66,14.78,-0.78,-5.2774,1.4296,37789623,533337302.53,37006321646.0,37006321646.0
2017-12-15,'002081,Ѕр у« тл,14.78,15.27,14.78,15.02,15.11,-0.33,-2.184,0.7914,20919977,313377510.7,39068102423.4,39068102423.4
2017-12-14,'002081,Ѕр у« тл,15.11,15.25,14.86,15.18,15.18,-0.07,-0.4611,0.611,16151782,242288771.04,39940394290.8,39940394290.8
2017-12-13,'002081,Ѕр у« тл,15.18,15.28,14.76,14.8,14.9,0.28,1.8792,0.73,19296879,291003625.89,40125425899.0,40125425899.0
2017-12-12,'002081,Ѕр у« тл,14.9,15.45,14.8,15.42,15.37,-0.47,-3.0579,0.9582,25327380,382960814.34,39385299466.1,39385299466.1
2017-12-11,'002081,Ѕр у« тл,15.37,15.37,14.74,14.84,14.84,0.53,3.5714,1.0392,27468981,414976070.52,40627654549.9,40627654549.9
2017-12-08,'002081,Ѕр у« тл,14.84,15.11,14.48,14.68,14.85,-0.01,-0.0673,0.7571,20012221,296811262.85,39226700944.8,39226700944.8
2017-12-07,'002081,Ѕр у« тл,14.85,15.35,14.77,14.88,14.88,-0.03,-0.2016,0.9696,25630161,384421804.56,39253134031.7,39253134031.7
2017-12-06,'002081,Ѕр у« тл,14.88,14.9,14.19,14.53,14.55,0.33,2.268,1.0334,27315808,398462215.13,39332433292.3,39332433292.3
2017-12-05,'002081,Ѕр у« тл,14.55,14.9,14.27,14.53,14.68,-0.13,-0.8856,1.193,31534944,460776227.27,38460141424.9,38460141424.9
2017-12-04,'002081,Ѕр у« тл,14.68,15.15,14.51,14.63,14.65,0.03,0.2048,0.8713,23029967,341581858.71,38803771554.5,38803771554.5
2017-12-01,'002081,Ѕр у« тл,14.65,14.9,14.1,14.1,14.08,0.57,4.0483,1.2515,33080738,480823538.14,38724472293.8,38724472293.8
2017-11-30,'002081,Ѕр у« тл,14.08,14.6,14.08,14.4,14.32,-0.24,-1.676,1.2845,33953790,485596502.57,37217786341.1,37217786341.1
2017-11-29,'002081,Ѕр у« тл,14.32,15.04,14.05,14.99,15.05,-0.73,-4.8505,1.8178,48048823,695083007.32,37852180426.5,37852180426.5
2017-11-28,'002081,Ѕр у« тл,15.05,15.13,14.6,14.72,14.77,0.28,1.8957,0.9302,24588090,366095048.96,39781795769.4,39781795769.4
2017-11-27,'002081,Ѕр у« тл,14.77,15.18,14.5,14.99,15.18,-0.41,-2.7009,1.3093,34609735,509795256.75,39041669336.5,39041669336.5
2017-11-24,'002081,Ѕр у« тл,15.18,15.39,14.72,15.06,15.39,-0.21,-1.3645,1.795,47446435,711169811.46,40125425899.0,40125425899.0
2017-11-23,'002081,Ѕр у« тл,15.39,16.18,15.08,15.9,16.0,-0.61,-3.8125,1.5364,40611065,636974365.67,40680520723.7,40680520723.7
2017-11-22,'002081,Ѕр у« тл,16.0,16.3,15.69,16.3,16.33,-0.33,-2.0208,1.5339,40545452,648177189.4,42292939024.0,42292939024.0
2017-11-21,'002081,Ѕр у« тл,16.33,16.4,15.13,15.25,15.28,1.05,6.8717,1.9684,52030966,826923488.54,43165230891.4,43165230891.4
2017-11-20,'002081,Ѕр у« тл,15.28,15.29,14.2,14.7,14.91,0.37,2.4816,1.3675,36147041,535067004.45,40389756767.9,40389756767.9
2017-11-17,'002081,Ѕр у« тл,14.91,15.3,14.65,14.91,14.88,0.03,0.2016,1.5592,41213443,620202229.54,39411732553.0,39411732553.0
2017-11-16,'002081,Ѕр у« тл,14.88,15.2,14.4,15.15,14.89,-0.01,-0.0672,1.2735,33662874,494501459.04,39332433292.3,39332433292.3
2017-11-15,'002081,Ѕр у« тл,14.89,15.54,14.63,14.8,14.78,0.11,0.7442,2.199,58125236,875555794.82,39358866379.2,39358866379.2
2017-11-14,'002081,Ѕр у« тл,14.78,15.45,14.63,15.1,15.0,-0.22,-1.4667,1.5262,40341870,602998640.08,39068102423.4,39068102423.4
2017-11-13,'002081,Ѕр у« тл,15.0,15.45,14.06,14.1,14.12,0.88,6.2323,2.0412,53956066,796256176.66,39649630335.0,39649630335.0
2017-11-10,'002081,Ѕр у« тл,14.12,14.55,13.82,14.15,14.1,0.02,0.1418,1.073,28362580,401323178.62,37323518688.7,37323518688.7
2017-11-09,'002081,Ѕр у« тл,14.1,14.2,13.82,13.95,14.02,0.08,0.5706,0.9314,24619365,345005631.18,37270652514.9,37270652514.9
2017-11-08,'002081,Ѕр у« тл,14.02,14.26,13.36,13.47,13.45,0.57,4.2379,1.7675,46719808,650164913.51,37059187819.8,37059187819.8
2017-11-07,'002081,Ѕр у« тл,13.45,13.72,13.21,13.3,13.3,0.15,1.1278,1.5003,39658132,535312850.86,35552501867.1,35552501867.1
2017-11-06,'002081,Ѕр у« тл,13.3,13.32,12.79,12.85,12.75,0.55,4.3137,1.1939,31558302,411195568.85,35156005563.7,35156005563.7
2017-11-03,'002081,Ѕр у« тл,12.75,13.35,12.71,13.32,13.32,-0.57,-4.2793,1.4368,37978006,492714383.07,33702185784.8,33702185784.8
2017-11-02,'002081,Ѕр у« тл,13.32,13.34,12.9,13.2,13.18,0.14,1.0622,1.0893,28794831,379123018.64,35208871737.5,35208871737.5
2017-11-01,'002081,Ѕр у« тл,13.18,13.68,13.09,13.65,13.7,-0.52,-3.7956,1.5202,40182666,539056692.5,34838808521.0,34838808521.0
2017-10-31,'002081,Ѕр у« тл,13.7,13.7,13.0,13.0,13.04,0.66,5.0613,1.7019,44985219,601429936.58,36213329039.3,36213329039.3
2017-10-30,'002081,Ѕр у« тл,13.04,13.25,12.5,12.96,12.79,0.25,1.9547,1.6634,43968441,569776703.59,34468745304.6,34468745304.6
2017-10-27,'002081,Ѕр у« тл,12.79,13.14,12.74,12.81,12.66,0.13,1.0269,1.1326,29937327,386234020.03,33807918132.3,33807918132.3
2017-10-26,'002081,Ѕр у« тл,12.66,13.22,12.62,12.83,12.86,-0.2,-1.5552,1.4544,38443189,493948231.84,33464288002.7,33464288002.7
2017-10-25,'002081,Ѕр у« тл,12.86,13.35,12.7,12.75,12.82,0.04,0.312,1.7887,47281937,617091781.9,33992949740.5,33992949740.5
2017-10-24,'002081,Ѕр у« тл,12.82,12.89,12.35,12.45,12.58,0.24,1.9078,1.7608,46543878,591722749.84,33887217393.0,33887217393.0
2017-10-23,'002081,Ѕр у« тл,12.58,12.7,12.08,12.28,12.3,0.28,2.2764,1.8192,48086262,601085963.88,33252823307.6,33252823307.6
2017-10-20,'002081,Ѕр у« тл,12.3,12.32,12.03,12.17,12.38,-0.08,-0.6462,1.2181,32197208,392687863.3,32512696874.7,32512696874.7
2017-10-19,'002081,Ѕр у« тл,12.38,12.55,11.44,11.57,11.46,0.92,8.0279,2.8477,75273732,912733509.59,32724161569.8,32724161569.8
2017-10-18,'002081,Ѕр у« тл,11.46,11.46,11.08,11.08,11.08,0.38,3.4296,0.8658,22884748,258023649.6,30292317575.9,30292317575.9
2017-10-17,'002081,Ѕр у« тл,11.08,11.24,11.04,11.08,11.08,0.0,0.0,0.4065,10745275,119562422.0,29287860274.1,29287860274.1
2017-10-16,'002081,Ѕр у« тл,11.08,11.4,11.08,11.4,11.35,-0.27,-2.3789,0.4485,11855450,132422058.5,29287860274.1,29287860274.1
2017-10-13,'002081,Ѕр у« тл,11.35,11.43,11.23,11.29,11.28,0.07,0.6206,0.2989,7901638,89719833.58,30001553620.2,30001553620.2
2017-10-12,'002081,Ѕр у« тл,11.28,11.48,11.2,11.41,11.43,-0.15,-1.3123,0.3633,9603393,108477575.06,29816522011.9,29816522011.9
2017-10-11,'002081,Ѕр у« тл,11.43,11.52,11.17,11.19,11.22,0.21,1.8717,0.7089,18739577,213927989.34,30213018315.3,30213018315.3
2017-10-10,'002081,Ѕр у« тл,11.22,11.31,11.1,11.12,11.17,0.05,0.4476,0.4883,12906250,145281133.08,29657923490.6,29657923490.6
2017-10-09,'002081,Ѕр у« тл,11.17,11.25,11.03,11.11,11.04,0.13,1.1775,0.425,11233784,125374752.43,29525758056.1,29525758056.1
2017-09-29,'002081,Ѕр у« тл,11.04,11.07,10.86,10.9,10.86,0.18,1.6575,0.3568,9432009,103713410.44,29182127926.6,29182127926.6
2017-09-28,'002081,Ѕр у« тл,10.86,10.96,10.84,10.96,10.94,-0.08,-0.7313,0.2593,6853824,74567502.75,28706332362.5,28706332362.5
2017-09-27,'002081,Ѕр у« тл,10.94,11.03,10.9,11.01,11.01,-0.07,-0.6358,0.3528,9326265,102143744.73,28917797057.7,28917797057.7
2017-09-26,'002081,Ѕр у« тл,11.01,11.05,10.87,10.87,10.91,0.1,0.9166,0.2365,6251892,68482545.06,29102828665.9,29102828665.9
2017-09-25,'002081,Ѕр у« тл,10.91,11.28,10.91,11.26,11.33,-0.42,-3.707,0.6313,16686043,184365429.48,28838497797.0,28838497797.0
2017-09-22,'002081,Ѕр у« тл,11.33,11.43,11.25,11.4,11.48,-0.15,-1.3066,0.5039,13319820,150961116.7,29948687446.4,29948687446.4
2017-09-21,'002081,Ѕр у« тл,11.48,11.62,11.33,11.47,11.47,0.01,0.0872,0.6913,18273378,210551256.4,30345183749.7,30345183749.7
2017-09-20,'002081,Ѕр у« тл,11.47,11.51,11.32,11.45,11.43,0.04,0.35,0.5117,13524965,154440724.84,30318750662.8,30318750662.8
2017-09-19,'002081,Ѕр у« тл,11.43,11.63,11.32,11.54,11.54,-0.11,-0.9532,0.9242,24428733,279970547.36,30213018315.3,30213018315.3
2017-09-18,'002081,Ѕр у« тл,11.54,11.55,11.29,11.29,11.25,0.29,2.5778,1.383,36555715,419024908.04,30503782271.1,30503782271.1
2017-09-15,'002081,Ѕр у« тл,11.25,11.25,11.03,11.08,11.07,0.18,1.626,1.0313,27259270,305187992.67,29737222751.2,29737222751.2
2017-09-14,'002081,Ѕр у« тл,11.07,11.08,10.93,11.0,11.01,0.06,0.545,0.3876,10245478,112784344.15,29261427187.2,29261427187.2
2017-09-13,'002081,Ѕр у« тл,11.01,11.06,10.79,10.91,10.91,0.1,0.9166,0.4806,12702832,138693037.71,29102828665.9,29102828665.9
2017-09-12,'002081,Ѕр у« тл,10.91,11.14,10.89,11.09,11.08,-0.17,-1.5343,0.4499,11892179,131181851.78,28838497797.0,28838497797.0
2017-09-11,'002081,Ѕр у« тл,11.08,11.09,10.91,10.91,10.93,0.15,1.3724,0.4995,13203176,145543051.9,29287860274.1,29287860274.1
2017-09-08,'002081,Ѕр у« тл,10.93,10.98,10.88,10.91,10.94,-0.01,-0.0914,0.4733,12511200,136575112.06,28891363970.8,28891363970.8
2017-09-07,'002081,Ѕр у« тл,10.94,11.05,10.93,11.01,11.02,-0.08,-0.726,0.3973,10502847,115378379.19,28917797057.7,28917797057.7
2017-09-06,'002081,Ѕр у« тл,11.02,11.06,10.9,10.94,10.97,0.05,0.4558,0.4411,11658940,128048315.31,29129261752.8,29129261752.8
2017-09-05,'002081,Ѕр у« тл,10.97,11.11,10.95,11.1,11.1,-0.13,-1.1712,0.7044,18619453,204759010.31,28997096318.3,28997096318.3
2017-09-04,'002081,Ѕр у« тл,11.1,11.21,11.03,11.11,11.16,-0.06,-0.5376,0.6239,16490650,182996871.46,29340726447.9,29340726447.9
2017-09-01,'002081,Ѕр у« тл,11.16,11.31,11.15,11.31,11.27,-0.11,-0.976,0.5257,13894878,155668125.88,29499324969.2,29499324969.2
2017-08-31,'002081,Ѕр у« тл,11.27,11.29,11.0,11.03,11.03,0.24,2.1759,0.8499,22465977,250786992.4,29790088925.0,29790088925.0
2017-08-30,'002081,Ѕр у« тл,11.03,11.11,10.91,11.11,11.11,-0.08,-0.7201,0.4128,10911402,119873415.8,29155694839.7,29155694839.7
2017-08-29,'002081,Ѕр у« тл,11.11,11.22,11.01,11.12,11.13,-0.02,-0.1797,0.4219,11151570,123612346.17,29367159534.8,29367159534.8
2017-08-28,'002081,Ѕр у« тл,11.13,11.2,10.96,10.98,11.03,0.1,0.9066,0.5498,14533155,161425400.4,29420025708.6,29420025708.6
2017-08-25,'002081,Ѕр у« тл,11.03,11.03,10.78,10.86,10.81,0.22,2.0352,0.3788,10013028,109667646.71,29155694839.7,29155694839.7
2017-08-24,'002081,Ѕр у« тл,10.81,10.97,10.77,10.86,10.9,-0.09,-0.8257,0.3159,8351514,90685831.56,28574166928.1,28574166928.1
2017-08-23,'002081,Ѕр у« тл,10.9,11.07,10.7,11.01,11.0,-0.1,-0.9091,0.5693,15047198,163660454.22,28812064710.1,28812064710.1
2017-08-22,'002081,Ѕр у« тл,11.0,11.16,10.96,11.05,11.06,-0.06,-0.5425,0.4198,11095550,122788746.66,29076395579.0,29076395579.0
2017-08-21,'002081,Ѕр у« тл,11.06,11.08,10.86,10.92,10.93,0.13,1.1894,0.4803,12695566,139051073.09,29234994100.3,29234994100.3
2017-08-18,'002081,Ѕр у« тл,10.93,11.18,10.93,11.1,11.19,-0.26,-2.3235,0.5396,14262650,157808536.13,28891363970.8,28891363970.8
2017-08-17,'002081,Ѕр у« тл,11.19,11.22,11.02,11.11,11.19,0.0,0.0,0.6799,17972300,199731380.61,29578624229.9,29578624229.9
2017-08-16,'002081,Ѕр у« тл,11.19,11.21,10.97,11.15,11.2,-0.01,-0.0893,0.6128,16198676,179534316.33,29578624229.9,29578624229.9
2017-08-15,'002081,Ѕр у« тл,11.2,11.49,11.09,11.39,11.28,-0.08,-0.7092,0.9446,24969685,281123953.35,29605057316.8,29605057316.8
2017-08-14,'002081,Ѕр у« тл,11.28,11.28,10.95,11.06,11.0,0.28,2.5455,1.1756,31075091,347180936.42,29816522011.9,29816522011.9
2017-08-11,'002081,Ѕр у« тл,11.0,11.21,10.58,10.68,10.8,0.2,1.8519,1.1813,31224427,344145732.01,29076395579.0,29076395579.0
2017-08-10,'002081,Ѕр у« тл,10.8,11.03,10.66,11.0,11.0,-0.2,-1.8182,0.4146,10959573,118737065.57,28547733841.2,28547733841.2
2017-08-09,'002081,Ѕр у« тл,11.0,11.0,10.71,10.82,10.79,0.21,1.9462,0.4741,12531680,136585240.16,29076395579.0,29076395579.0
2017-08-08,'002081,Ѕр у« тл,10.79,10.94,10.77,10.85,10.83,-0.04,-0.3693,0.3354,8866332,96183018.65,28521300754.3,28521300754.3
2017-08-07,'002081,Ѕр у« тл,10.83,10.89,10.53,10.53,10.6,0.23,2.1698,0.4108,10859033,116608939.57,28627033101.9,28627033101.9
2017-08-04,'002081,Ѕр у« тл,10.6,10.85,10.53,10.8,10.82,-0.22,-2.0333,0.5651,14936408,159399320.36,28019072103.4,28019072103.4
2017-08-03,'002081,Ѕр у« тл,10.82,10.91,10.74,10.88,10.89,-0.07,-0.6428,0.626,16546337,178870524.02,28600600015.0,28600600015.0
2017-08-02,'002081,Ѕр у« тл,10.89,11.16,10.75,11.02,11.02,-0.13,-1.1797,0.7614,20125278,219905911.63,28785631623.2,28785631623.2
2017-08-01,'002081,Ѕр у« тл,11.02,11.1,10.85,10.99,11.01,0.01,0.0908,0.6361,16813654,184632700.93,29129261752.8,29129261752.8
